Date,BTC
2017-05-01,1560.00
2017-05-02,1604.60
2017-05-03,1627.00
2017-05-04,1702.00
2017-05-05,1665.90
2017-05-06,1605.10
2017-05-07,1624.20
2017-05-08,1715.00
2017-05-09,1815.00
2017-05-10,1817.40
2017-05-11,1908.10
2017-05-12,1868.50
2017-05-13,1825.00
2017-05-14,1852.40
2017-05-15,1830.40
2017-05-16,1795.10
2017-05-17,1894.00
2017-05-18,1948.00
2017-05-19,2000.00
2017-05-20,2069.00
2017-05-21,2099.10
2017-05-22,2222.20
2017-05-23,2264.20
2017-05-24,2444.90
2017-05-25,2690.00
2017-05-26,2477.00
2017-05-27,2210.80
2017-05-28,2194.40
2017-05-29,2249.80
2017-05-30,2265.00
2017-05-31,2241.00
2017-06-01,2368.20
2017-06-02,2390.00
2017-06-03,2481.20
2017-06-04,2498.00
2017-06-05,2649.50
2017-06-06,2899.70
2017-06-07,2850.00
2017-06-08,2780.00
2017-06-09,2849.80
2017-06-10,2890.50
2017-06-11,3003.00
2017-06-12,2962.20
2017-06-13,2730.00
2017-06-14,2722.42
2017-06-15,2455.00
2017-06-16,2487.00
2017-06-17,2635.00
2017-06-18,2640.00
2017-06-19,2593.90
2017-06-20,2780.00
2017-06-21,2760.00
2017-06-22,2709.00
2017-06-23,2726.00
2017-06-24,2700.00
2017-06-25,2595.00
2017-06-26,2510.40
2017-06-27,2500.00
2017-06-28,2566.80
2017-06-29,2537.80
2017-06-30,2511.10
2017-07-01,2441.00
2017-07-02,2462.80
2017-07-03,2587.40
2017-07-04,2628.60
2017-07-05,2619.00
2017-07-06,2607.10
2017-07-07,2601.50
2017-07-08,2542.60
2017-07-09,2555.70
2017-07-10,2499.90
2017-07-11,2375.00
2017-07-12,2397.00
2017-07-13,2400.00
2017-07-14,2345.60
2017-07-15,2218.90
2017-07-16,2051.10
2017-07-17,2196.00
2017-07-18,2380.20
2017-07-19,2400.00
2017-07-20,2847.00
2017-07-21,2922.00
2017-07-22,2917.00
2017-07-23,2877.50
2017-07-24,2812.00
2017-07-25,2790.10
2017-07-26,2612.00
2017-07-27,2679.70
2017-07-28,2820.00
2017-07-29,2800.00
2017-07-30,2760.00
2017-07-31,2883.50
2017-08-01,2902.20
2017-08-02,2758.00
2017-08-03,2820.00
2017-08-04,2876.00
2017-08-05,3339.50
2017-08-06,3315.50
2017-08-07,3440.00
2017-08-08,3483.80
2017-08-09,3451.20
2017-08-10,3447.00
2017-08-11,3675.30
2017-08-12,3970.10
2017-08-13,4190.00
2017-08-14,4320.00
2017-08-15,4430.00
2017-08-16,4380.00
2017-08-17,4492.30
2017-08-18,4360.00
2017-08-19,4187.00
2017-08-20,4199.90
2017-08-21,4140.40
2017-08-22,4141.90
2017-08-23,4255.20
2017-08-24,4340.70
2017-08-25,4464.20
2017-08-26,4364.00
2017-08-27,4406.70
2017-08-28,4395.50
2017-08-29,4648.80
2017-08-30,4643.00
2017-08-31,4749.90
2017-09-01,4936.90
2017-09-02,4970.00
2017-09-03,4699.90
2017-09-04,4621.00
2017-09-05,4448.00
2017-09-06,4633.70
2017-09-07,4675.00
2017-09-08,4694.90
2017-09-09,4395.20
2017-09-10,4349.90
2017-09-11,4383.20
2017-09-12,4379.00
2017-09-13,4169.70
2017-09-14,3936.00
2017-09-15,3809.00
2017-09-16,3875.00
2017-09-17,3782.00
2017-09-18,4119.00
2017-09-19,4114.00
2017-09-20,4049.00
2017-09-21,3958.10
2017-09-22,3748.00
2017-09-23,3808.70
2017-09-24,3785.70
2017-09-25,3977.00
2017-09-26,3985.00
2017-09-27,4220.00
2017-09-28,4269.00
2017-09-29,4245.00
2017-09-30,4397.00
2017-10-01,4424.00
2017-10-02,4482.00
2017-10-03,4439.90
2017-10-04,4359.20
2017-10-05,4364.70
2017-10-06,4425.80
2017-10-07,4505.00
2017-10-08,4627.90
2017-10-09,4879.80
2017-10-10,4940.00
2017-10-11,4881.40
2017-10-12,5419.80
2017-10-13,5920.00
2017-10-14,5784.80
2017-10-15,5877.00
2017-10-16,5771.00
2017-10-17,5810.00
2017-10-18,5613.00
2017-10-19,5744.00
2017-10-20,6088.40
2017-10-21,6199.90
2017-10-22,6075.30
2017-10-23,6055.00
2017-10-24,5933.00
2017-10-25,5697.10
2017-10-26,5966.60
2017-10-27,6020.00
2017-10-28,5864.00
2017-10-29,6345.00
2017-10-30,6239.00
2017-10-31,6450.00
2017-11-01,6676.00
2017-11-02,7350.00
2017-11-03,7448.00
2017-11-04,7530.00
2017-11-05,7598.00
2017-11-07,7440.00
2017-11-08,7220.00
2017-11-09,7899.90
2017-11-10,7450.00
2017-11-11,7324.00
2017-11-12,6789.00
2017-11-13,6469.60
2017-11-14,6682.00
2017-11-15,6689.50
2017-11-16,7319.00
2017-11-17,8020.00
2017-11-18,8040.00
2017-11-19,7867.80
2017-11-20,8130.00
2017-11-21,8315.00
2017-11-22,8380.00
2017-11-23,8310.00
2017-11-24,8268.00
2017-11-25,8352.10
2017-11-27,9495.00
2017-11-28,9771.00
2017-11-29,9999.00
2017-11-30,11441.00
2017-12-01,10542.00
2017-12-02,10950.00
2017-12-03,11190.00
2017-12-04,11874.00
2017-12-05,11600.00
2017-12-06,11961.00
2017-12-07,13599.00
2017-12-08,16649.00
2017-12-09,17171.00
2017-12-10,16300.00
2017-12-11,15741.00
2017-12-12,17450.00
2017-12-14,17293.00
2017-12-15,16999.00
2017-12-16,18111.00
2017-12-17,19550.00
2017-12-18,19891.00
2017-12-19,19175.00
2017-12-20,18987.00
2017-12-21,17709.00
2017-12-22,17333.00
2017-12-23,15842.43
2017-12-24,14999.00
2017-12-25,14047.00
2017-12-26,14278.00
2017-12-27,16060.00
2017-12-28,16494.00
2017-12-29,15468.00
2017-12-30,15131.00
2017-12-31,14417.00
2018-01-01,14210.00
2018-01-02,13893.00
2018-01-03,15500.00
2018-01-04,15428.83
2018-01-05,15422.16
2018-01-06,17105.00
2018-01-07,17252.00
2018-01-08,17176.00
2018-01-09,16329.00
2018-01-10,15355.00
2018-01-11,14905.00
2018-01-12,14999.00
2018-01-13,14100.00
2018-01-14,14580.00
2018-01-15,14393.00
2018-01-16,14356.00
2018-01-17,13617.00
2018-01-18,11497.00
2018-01-19,11904.00
2018-01-20,11900.00
2018-01-21,13017.00
2018-01-22,12732.00
2018-01-23,11900.00
2018-01-24,11427.00
2018-01-25,11734.00
2018-01-26,11700.00
2018-01-27,11689.00
2018-01-28,12190.00
2018-01-29,11975.00
2018-01-30,11252.00
2018-01-31,10414.00
2018-02-01,10336.00
2018-02-02,9274.00
2018-02-03,9499.00
2018-02-04,9410.00
2018-02-05,8380.00
2018-02-06,7880.00
2018-02-07,8488.90
2018-02-08,8648.90
2018-02-09,8750.00
2018-02-10,9074.90
2018-02-11,8572.00
2018-02-12,9000.00
2018-02-13,8952.90
2018-02-14,9489.00
2018-02-15,10176.00
2018-02-16,10271.00
2018-02-17,11084.00
2018-02-18,11250.00
2018-02-19,11250.00
2018-02-20,11788.00
2018-02-21,11239.00
2018-02-22,10915.00
2018-02-23,10395.00
2018-02-24,10500.00
2018-02-25,9840.00
2018-02-26,10439.00
2018-02-27,10888.00
2018-02-28,11065.00
2018-03-01,11095.00
